"ID.","Patriot1","Hedon1","Curious3","Benev2","Selfdir3","Free1","Hedon3","Soceq4","Open2","Benev4","Hedon4","Conform2","Toler3","GPeace1","Stim3","Compet2","Work4","Soceq3","GPeace2","Selfcon1","Spirit3","Stim2","Toler2","Work3","Benev3","Commit3","Open4","Pragmat4","Democ1","Selfcon4","Curious1","Selfdir4","Commit1","Free2","Toler1","Conform3","Environ3","Hedon2","Work2","Open1","Patriot3","Selfdir2","Pergrow2","Free3","Compet4","Stim4","Soceq2","Frugal2","Conform1","Curious2","Pragmat2","Patriot2","Selfcon5","Curious4","Compet3","Aesth3","Pergrow3","Selfcon2","Aesth2","Commit2","Pragmat3","Democ2","Selfcon3","Commit4","Stim1","Frugal3","Benev1","Conform4","Compet1","Spirit1","Soceq1","Democ3","Curious5","Environ4","GPeace3","Work1","Pergrow1","Frugal1","Toler4","Selfdir1","Aesth1","Open3","Environ2","Pragmat1","Spirit2","Work5","Environ1","Finsec1","Family1","Wisdom4","Safe1","Achieve4","Power3","Compan1","Ipeace2","Love1","Safe2","Socacc3","Love2","Ipeace4","Power2","Prosper1","Compan3","Wisdom3","Family3","Power4","Achieve5","Safe3","Phywel2","Finsec3","Compan2","Socacc1","Ipeace3","Prosper3","Family2","Achieve1","Phywel3","Wisdom1","Prosper4","Socacc2","Compan4","Prosper2","Ipeace1","Achieve2","Phywel1","Achieve3","Wisdom2","Power1","Finsec2","Love3","Workethic","Wisdom","Tolerance","Stimulation","Spirituality","SocialJustice","SocialAcceptance","SelfDirection","SelfControl","PersonalSafety","Prosperity","Pragmatism","Power","PhysicalWellbeing","PersonalGrowth","Patriotism","Openness","MatureLove","InnerPeace","Hedonism","GlobalPeace","Frugality","Freedom","FinancialSecurity","FamilyTogetherness","Environmentalism","Democracy","Curiosity","Conformity","Competition","Companionship","Commitment","Benevolence","Aesthetics","Achievement","volunt","tv","intrnet","socmed","charit","excer","garden","impulse","eatout","pubtran","recycle","sportfan","attorg","commun","satjob","satlife","military","envichoi","authority","brandloyal","politics","gender","age","ethnicity","jobstatus","religion","Hhincome","retirement","educ","sexorien","marstatus"
94,3,3,8,9,7,6,3,9,9,9,3,5,7,9,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,9,NA,7,NA,NA,NA,NA,NA,NA,NA,3,9,NA,NA,3,9,NA,6,NA,NA,NA,NA,8,5,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"                                           ",NA,NA,NA,NA,NA,NA,NA
95,2,5,9,8,8,9,4,9,9,6,4,3,7,8,8,8,8,9,5,5,2,3,9,8,5,9,8,5,5,4,8,5,9,8,9,4,3,6,6,6,3,7,9,7,6,4,8,5,5,9,5,3,5,9,3,5,9,5,8,9,5,5,5,5,5,5,8,3,4,3,8,3,8,8,8,8,9,2,9,5,8,8,3,6,2,6,5,9,9,9,8,8,4,8,5,9,8,8,5,9,1,5,9,9,9,5,5,8,8,8,9,9,8,5,9,9,8,9,2,8,8,5,9,6,5,4,NA,3,9,9,7.2,9,8.5,4,2.33333333333333,8.5,8.33333333333333,6.25,4.8,8,4.25,5.25,3.25,7,9,2.66666666666667,7.75,7.66666666666667,8.66666666666667,4.75,7,4,8,8.66666666666667,9,4.75,4.33333333333333,8.6,3.75,5.25,8.5,8,6.75,7,6.4,0,2,15,7,0,2,0,500,4,0,51,5,2,2,4,5,7,3,3,3,2,"Female",21,"Asian-American                             ","Staff",23,"Below $20,000",NA,"some college","Heterosexual","Partnered"
96,1,4,8,8,9,9,2,8,9,9,2,3,8,8,9,6,9,8,5,4,8,8,8,9,8,5,9,9,7,9,9,9,5,6,9,4,6,5,9,9,1,9,9,8,1,2,8,8,1,9,8,2,4,9,1,9,9,8,9,5,5,5,3,2,3,4,9,1,2,9,9,2,9,9,9,9,9,5,9,9,9,9,7,9,1,9,5,9,9,9,9,5,2,8,5,5,5,5,2,9,1,2,8,9,9,1,2,5,9,5,6,9,9,2,9,5,9,9,1,2,5,4,9,4,9,2,9,1,9,5,9,9,8.5,4.33333333333333,6,8.25,5.33333333333333,9,5.6,6.33333333333333,2.25,7.75,1.25,9,9,1.33333333333333,9,4,9,3.25,7.33333333333333,5.66666666666667,7.66666666666667,7.66666666666667,9,6.75,4.66666666666667,8.8,2.25,2.5,6.75,4.25,8.5,9,3.6,0,1,10,0,100,10,1,500,1,20,86,5,3,6,6,7,6,6,1,1,1,"Female",20,"white                                      ","Staff",1,"$60,000-$79,999","below $20,000","some college","Heterosexual","single"
97,5,5,9,8,5,6,4,8,7,8,3,4,6,8,8,7,9,7,4,6,7,7,7,8,8,8,7,8,6,5,9,8,8,6,7,8,5,7,9,7,4,5,8,6,6,6,6,5,5,9,8,5,7,9,5,6,9,6,8,8,8,6,7,7,6,5,8,5,7,7,7,5,8,6,7,9,9,5,6,6,8,7,5,7,6,7,5,7,9,8,8,8,5,8,5,8,8,9,9,9,3,5,8,9,9,4,8,8,7,6,8,9,8,5,8,8,8,8,4,8,8,5,7,7,7,6,8,4,6,8,8.4,8.25,6.5,6.33333333333333,6.66666666666667,7,8.66666666666667,6,6.2,8,4.75,7.75,4,7.33333333333333,8.66666666666667,4.66666666666667,7,8.33333333333333,8,4.75,6.33333333333333,5,6,6.33333333333333,8.66666666666667,5.25,5.66666666666667,8.8,5.5,6.25,8,7.75,8,7.33333333333333,7.4,2,2,10,2,50,4,0,300,2,5,90,3,6,6,6,5,7,2,3,4,3,"Female",19,"Caucasian                                  ","Staff",5,"$200,000 & above","None, I haven't started a retirement plan yet","some college","Heterosexual","single"
98,6,2,7,7,6,6,1,5,8,8,1,5,7,8,8,6,8,7,7,6,8,7,8,8,8,6,8,7,7,5,7,7,8,7,7,7,7,1,8,8,7,7,7,7,7,6,6,6,3,8,6,7,5,8,2,8,8,5,7,8,7,8,7,8,6,6,8,3,5,8,8,8,8,7,7,8,8,5,7,8,8,8,7,5,8,8,5,8,8,7,6,5,4,7,5,2,6,6,5,8,2,6,8,8,8,7,7,7,5,8,8,8,8,5,8,7,7,8,5,6,8,8,8,7,6,5,8,5,8,3,8,7.75,7.25,6.33333333333333,8,6.5,6.66666666666667,7,5.6,6.33333333333333,6,6.25,4.5,6,7.66666666666667,6.66666666666667,8,3.33333333333333,8,1.25,7.33333333333333,5.66666666666667,6.66666666666667,8,8,6.5,7.66666666666667,7.6,4.5,5,7.75,7.5,7.75,7.66666666666667,6.2,3,10,1,0,4000,1,0,500,0,0,95,6,6,6,6,5,4,5,2,5,4,"Female",65,"Caucasian, native american                 ","Student",12,"$100,000-$149,999","$500,000 and above","college graduate","Heterosexual","Divorced"
99,3,6,7,8,5,7,3,2,5,5,5,4,6,7,7,5,8,8,5,5,5,7,8,6,8,8,8,6,7,6,8,6,6,7,6,5,5,5,6,8,3,5,8,7,5,5,8,5,4,4,4,4,5,5,4,7,7,6,7,8,5,4,5,8,5,6,8,4,5,7,8,6,5,4,4,8,8,4,6,6,7,7,5,4,6,5,5,5,7,5,8,6,4,8,4,6,6,6,8,7,3,6,7,7,8,5,5,7,6,5,6,7,7,5,7,6,6,7,4,5,5,5,7,7,6,5,5,5,5,6,6.6,6,6.5,5.66666666666667,6,6.5,6,5.5,5.4,7,5,4.75,4.25,6,7.66666666666667,3.33333333333333,7,6.66666666666667,7,4.75,5.33333333333333,5,7,5,7.33333333333333,4.75,5.66666666666667,5.8,4.25,4.75,6.5,7.5,7.25,7,5.8,1,7,10,5,600,2,0,200,10,1,90,5,6,6,5,7,3,6,7,3,3,"Female",26,"Asian                                      ","Staff",5,"Below $20,000","None, I haven't started a retirement plan yet","college graduate","Heterosexual","single"
100,2,3,9,8,7,6,2,6,7,5,3,2,6,7,9,4,8,7,6,8,2,4,7,9,9,6,7,9,4,5,9,7,6,4,8,3,8,5,9,9,2,6,9,7,7,4,7,9,3,9,8,2,8,9,1,7,9,8,8,6,9,3,7,5,5,6,9,2,2,3,6,2,9,7,7,8,9,6,8,8,8,8,7,7,2,7,7,8,7,9,9,4,2,8,8,7,9,9,2,8,3,4,8,9,6,3,8,9,8,8,8,9,9,3,5,7,9,9,1,7,8,5,9,7,7,4,9,2,8,8,8.2,9,7.25,4.33333333333333,2.33333333333333,6.5,8.33333333333333,7,7.2,9,3.25,8.25,2.5,8,9,2,7.75,5.66666666666667,8.66666666666667,3.25,6.66666666666667,7,5.66666666666667,8,6,7.25,3,9,2.5,3.5,8,5.75,7.75,7.66666666666667,6,1,0,30,5,100,3,1,400,3,40,75,1,2,7,7,6,7,6,1,2,2,"Female",27,"White                                      ","Staff",20,"$40,000-$59,999","None, I haven't started a retirement plan yet","college graduate","Questioning","Married"
101,3,4,6,7,5,5,4,7,9,7,4,4,7,7,6,5,7,7,7,5,4,6,8,7,7,6,8,7,8,5,7,5,6,5,7,4,8,4,7,8,5,6,8,7,7,7,8,7,4,6,6,5,6,8,4,5,7,7,7,7,6,6,6,6,7,5,8,4,4,6,8,6,6,6,7,7,8,6,8,6,6,8,7,5,4,5,7,7,6,6,8,5,5,8,4,8,8,7,7,8,4,4,8,7,6,5,5,7,5,6,7,8,6,3,7,6,7,6,2,7,6,5,6,5,5,5,6,4,6,8,6.6,6.25,7.5,6.66666666666667,4.66666666666667,7.5,7.33333333333333,5.5,5.8,7.66666666666667,3.5,6,4.5,5.66666666666667,7.66666666666667,4.33333333333333,8.25,7.66666666666667,6.66666666666667,4,7,6,5.66666666666667,6.33333333333333,6.33333333333333,7,6.66666666666667,6.6,4,5,7.25,6.25,7.25,6,5.2,1,0,2,2,70,2,0,100,8,3,90,3,6,6,5,6,6,6,5,3,3,"Female",22,"Caucasian                                  ","Staff",1,"Below $20,000","None, I haven't started a retirement plan yet","college graduate","Heterosexual","Partnered"
102,1,1,8,2,8,9,3,9,9,9,2,2,5,8,9,4,9,9,7,9,1,7,9,2,9,8,9,9,9,2,9,8,8,9,9,1,2,2,9,9,1,9,8,8,2,5,9,9,2,9,9,1,3,8,5,5,9,9,5,8,8,9,3,8,7,8,8,2,5,1,9,9,6,2,8,8,7,8,9,7,5,9,1,9,1,2,4,5,6,9,2,5,1,2,9,8,3,2,9,9,1,4,6,9,3,4,5,3,9,3,2,1,9,3,5,5,9,9,2,2,2,4,9,2,9,3,9,3,3,8,6,9,8,6.33333333333333,1,9,1.66666666666667,8,5.2,2.66666666666667,3.25,8.75,2.25,9,8,1,9,8.33333333333333,9,2,7.66666666666667,8.33333333333333,8.66666666666667,3.66666666666667,4.66666666666667,2.25,9,8,1.75,4,3,8,7,5,4,2,3,7,7,300,9,0,0,1,0,100,7,1,2,4,7,7,5,1,1,4,"Male",28,"caucasian                                  ","Staff",2,"Below $20,000","below $20,000","graduate degree","Heterosexual","Married"
103,2,5,5,4,6,8,2,8,NA,5,3,4,5,5,7,6,5,8,6,5,2,6,6,4,4,5,4,4,8,5,7,6,4,8,7,3,6,5,4,5,2,7,7,7,6,5,8,5,2,7,6,2,3,6,5,7,7,5,7,4,4,6,4,3,4,4,5,2,5,5,7,4,6,6,7,4,7,5,6,4,6,3,7,5,1,5,6,4,4,6,5,6,2,7,4,6,5,6,4,8,3,4,6,7,4,5,4,5,3,4,6,7,8,2,4,5,3,7,4,4,6,3,8,4,2,4,7,3,3,8,4.4,6.75,6,5,2.66666666666667,7.75,5.66666666666667,5.75,4.4,5,3.25,4.75,3.25,2.66666666666667,7,2,4,6,8,3.75,6,4.66666666666667,7.66666666666667,3.66666666666667,4,6.25,6,6.2,2.75,5.5,6.25,4,4.5,6.66666666666667,4.6,0,12,7,3,0,2,0,100,2,3,81,1,5,5,4,4,6,5,3,3,1,"Female",18,"White                                      ","Staff",2,"$200,000 & above","below $20,000","some college","Heterosexual","single"
104,5,3,8,8,8,8,3,8,8,8,8,5,8,8,8,7,8,8,8,5,5,7,8,7,8,8,8,8,8,7,7,8,8,8,8,8,8,4,8,8,7,8,8,8,8,5,8,5,3,7,7,7,5,7,3,5,7,8,5,8,5,8,5,8,5,5,8,2,4,8,8,5,3,5,8,7,7,5,7,7,5,7,7,5,5,6,7,5,9,5,8,8,3,8,7,8,8,6,8,8,8,2,8,8,9,3,5,8,8,5,7,7,8,4,8,5,8,6,2,5,8,5,7,5,8,2,7,2,5,8,7.2,6.5,7.75,5.66666666666667,6,8,6,7.75,6,8,3.25,6.25,4,8,7.33333333333333,6.33333333333333,7.75,8,7.66666666666667,4.5,8,5,8,5,8.66666666666667,6.75,7,6.4,4.5,5.5,7.75,8,8,5,5,0,20,4,4,200,11,0,1000,2,0,80,5,4,3,3,5,6,4,4,2,4,"Female",29,"Hispanic                                   ","Student",5,"$40,000-$59,999","$20,000-$59,999","college graduate","Heterosexual","single"
105,4,4,9,8,8,8,3,9,7,6,3,4,8,5,9,9,9,9,4,7,2,8,8,9,8,5,7,7,8,5,9,9,5,7,8,4,9,5,8,8,3,8,9,7,6,7,9,8,2,8,7,4,6,9,6,6,8,8,9,5,6,7,4,5,8,7,8,3,8,4,9,6,7,9,7,8,9,6,7,8,9,8,9,8,2,8,9,9,8,7,7,7,6,7,9,5,7,7,7,9,2,6,9,9,9,7,7,7,9,7,7,8,8,4,8,7,9,9,4,7,8,6,8,7,8,6,9,3,6,6,8.4,8.5,7.75,7.66666666666667,2.66666666666667,9,7.33333333333333,8.25,6,7,5,7,4.5,8.66666666666667,8.66666666666667,3.66666666666667,7.5,6,8.33333333333333,3.75,5.33333333333333,7,7.33333333333333,7.33333333333333,8.33333333333333,9,7,8.4,3.25,7.25,7.75,5,7.5,8,6.8,1,8,15,10,0,8,0,1000,3,0,90,7,7,6,4,7,6,7,2,4,3,"Female",28,"caucasion                                  ","Staff",22,"$20,000-$39,999","None, I haven't started a retirement plan yet","some college","Gay","single"
106,6,1,8,8,3,5,5,7,6,8,1,3,5,7,8,6,8,7,7,8,9,9,7,7,7,8,8,7,5,5,8,5,7,5,7,7,6,5,5,7,4,6,7,4,3,6,8,6,4,8,7,4,7,8,4,5,7,6,9,7,5,4,6,6,8,4,7,3,6,8,7,6,7,7,7,7,8,2,5,4,7,7,6,7,8,7,5,5,7,6,5,4,1,7,7,7,5,7,8,9,1,2,7,8,7,8,4,4,8,5,7,7,8,2,7,7,8,7,1,6,7,4,5,5,8,3,5,2,6,8,6.8,6.5,6,7.66666666666667,8.33333333333333,7.25,6.66666666666667,4.5,6.4,4.66666666666667,2.25,6.5,3,8,7.33333333333333,4.66666666666667,7,7.66666666666667,7.33333333333333,3,7,4,4.66666666666667,5.33333333333333,7,6,5,7.8,4.25,4.75,7,7,7.5,7,4.6,1,6,10,2,2500,5.5,0,150,5,1,85,7,6,6,6,6,4,4,3,5,5,"Male",25,"Caucasian                                  ","Staff",15,"$20,000-$39,999","below $20,000","graduate degree","Heterosexual","single"
107,5,4,7,7,6,5,3,8,8,7,1,5,7,7,8,5,7,8,6,7,9,7,8,7,7,8,8,8,7,7,5,7,7,6,7,8,8,5,7,8,7,8,8,7,4,5,8,8,5,8,8,6,6,7,4,8,8,6,8,8,7,5,5,7,6,5,8,4,7,8,8,5,8,5,7,7,8,6,7,5,8,8,7,7,9,8,8,6,8,7,7,6,6,8,8,8,8,8,9,8,4,4,8,8,8,6,8,7,8,5,8,8,8,5,7,7,8,8,4,8,8,5,8,7,7,7,8,5,5,8,7.2,7.75,7.25,6,8.66666666666667,8,8,6.5,6.2,7.33333333333333,4.5,7.5,5.25,7.66666666666667,8,6,8,8.33333333333333,8,3.25,6.66666666666667,6.33333333333333,6,5.33333333333333,7.66666666666667,7,5.66666666666667,7,5.5,5,8,7.5,7.25,8,7,2,6,6,10,2000,8,0,200,4,8,90,7,7,6,7,6,4,6,3,5,5,"Female",26,"White/Caucasian                            ","Student",6,"$20,000-$39,999","below $20,000","graduate degree","Heterosexual","single"
108,8,8,8,9,8,9,6,9,9,9,7,8,9,9,8,9,9,8,7,8,9,7,8,9,8,8,8,8,8,8,5,8,8,8,7,7,5,6,8,8,8,8,8,8,8,4,8,8,6,8,8,8,8,8,8,6,8,8,8,8,9,6,7,8,6,9,9,7,8,9,8,7,8,8,8,9,9,8,7,8,8,8,6,8,9,8,6,9,9,9,9,8,5,8,8,6,6,8,9,8,5,4,8,8,9,9,9,8,9,8,8,8,8,7,9,9,9,8,2,8,9,7,9,7,9,8,9,4,9,7,8.6,8.5,7.75,5.66666666666667,9,8.25,8,8,7.8,7.66666666666667,5,8.25,5.75,9,8.33333333333333,8,8.25,7.33333333333333,8.33333333333333,6.75,8,8.33333333333333,8.33333333333333,8.66666666666667,9,6.25,7,7.4,7,8.25,8.25,8,8.75,7.33333333333333,8.2,0,12,5,5,50,4,0,200,2,50,80,7,5,6,5,2,6,NA,4,4,3,"Female",24,"hispanic                                   ","Staff",5,"Below $20,000","None, I haven't started a retirement plan yet","college graduate","Heterosexual","single"
109,8,2,7,9,5,5,3,6,9,8,3,5,9,9,9,6,7,7,8,8,8,8,8,8,8,9,9,8,8,9,8,8,8,8,8,8,9,5,7,8,7,7,7,8,5,4,8,8,8,8,8,8,7,8,3,7,7,8,8,8,8,8,7,8,4,8,9,6,6,8,9,7,6,9,9,7,7,7,8,8,8,9,9,7,3,8,9,8,9,7,8,4,2,8,9,9,8,8,9,NA,1,7,8,7,9,2,5,7,9,8,8,8,8,5,9,8,9,8,1,8,8,6,7,7,9,8,7,2,8,9,7.4,7.25,8.25,5.33333333333333,6.33333333333333,7.5,8,7,7.8,7.66666666666667,4.75,7.75,1.75,9,7,7.66666666666667,8.75,9,7.5,3.25,8.66666666666667,7.66666666666667,7,8,9,9,7.66666666666667,7.4,6.75,5,8,8.25,8.5,7.66666666666667,6.4,8,2,2,3,NA,10,0,NA,4,0,81,6,5,6,6,7,6,7,5,6,5,"Female",39,"White                                      ","Faculty",12,NA,NA,"graduate degree","Heterosexual","Married"
110,4,2,7,8,4,6,1,8,8,7,2,6,7,7,7,6,7,8,7,8,8,6,7,8,8,8,8,8,7,7,7,3,8,7,7,5,7,2,7,8,5,3,9,7,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.33333333333333,NA,7,6,8,8,NA,3.33333333333333,7.5,NA,NA,8,NA,NA,9,4.5,8,NA,NA,1.75,7,NA,6.66666666666667,NA,NA,7,7,7,5.5,5,NA,8,7.66666666666667,NA,NA,3,5,4,1,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"                                           ",NA,NA,NA,NA,NA,NA,NA
111,4,4,7,7,5,7,5,7,8,7,4,4,7,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,7,NA,5,NA,NA,NA,NA,NA,NA,NA,4,8,NA,NA,4.33333333333333,5,NA,7,NA,NA,NA,NA,7,4,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"                                           ",NA,NA,NA,NA,NA,NA,NA
112,2,3,8,7,5,6,4,5,8,8,1,1,9,6,5,3,5,5,5,6,5,2,8,5,8,8,8,7,5,7,9,5,8,5,7,3,8,6,5,8,2,8,8,5,5,3,8,7,2,9,6,2,5,8,1,9,8,7,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,8,2.5,5,6,NA,6,6.25,NA,NA,6.5,NA,NA,8,2,8,NA,NA,3.5,5.5,7,5.33333333333333,NA,NA,8,5,8.5,2,3,NA,8,7.66666666666667,8.5,NA,2,0,5,2,500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"                                           ",NA,NA,NA,NA,NA,NA,NA
113,4,4,5,8,6,4,2,5,6,7,2,3,5,3,3,6,6,6,3,4,4,4,5,5,7,6,6,7,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.5,NA,5,4,4,5.5,NA,6,5.5,NA,NA,7,NA,NA,NA,4,6,NA,NA,2.66666666666667,3,NA,4,NA,NA,NA,7,5,3,6,NA,6,7.33333333333333,NA,NA,0,30,7,4,1500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"                                           ",NA,NA,NA,NA,NA,NA,NA
114,2,3,5,8,4,4,1,5,3,9,1,2,2,8,6,8,9,8,5,3,2,5,7,8,9,9,5,5,3,2,8,8,9,5,7,2,3,5,9,6,2,5,7,4,3,5,7,3,3,8,5,2,3,8,2,2,7,8,6,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.66666666666667,NA,5.33333333333333,5,2,6.66666666666667,NA,5.66666666666667,4,NA,NA,5,NA,NA,7,2,4.66666666666667,NA,NA,2.5,6.5,3,4.33333333333333,NA,NA,3,3,7.25,2.33333333333333,4.33333333333333,NA,9,8.66666666666667,4,NA,1,10,10,2,1000,8,0,1000,5,4,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"                                           ",NA,NA,NA,NA,NA,NA,NA
115,5,2,9,9,8,9,1,9,9,8,2,6,6,9,9,8,8,9,8,9,1,4,6,7,8,8,9,9,9,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.5,NA,6,4,1,9,NA,8,7.5,NA,NA,9,NA,NA,NA,5,9,NA,NA,1.66666666666667,8.5,NA,9,NA,NA,NA,9,9,6,8,NA,8,8.33333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"                                           ",NA,NA,NA,NA,NA,NA,NA
116,4,1,8,9,5,9,3,7,9,9,1,3,7,9,9,4,9,9,8,8,9,3,8,8,9,9,9,8,9,8,7,8,9,9,9,8,9,3,9,9,8,9,9,9,7,2,9,8,5,9,8,8,7,9,2,9,9,8,8,9,8,9,8,9,2,8,9,7,2,9,9,7,9,8,8,8,9,8,9,8,8,9,8,7,9,9,8,8,8,7,8,5,2,9,9,9,8,8,9,9,1,2,9,8,8,8,8,8,7,8,9,9,8,5,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.6,7.5,8.25,2.33333333333333,9,8.5,8.5,7.5,7.8,8,3.5,7.75,3.66666666666667,7,9,6.66666666666667,9,9,8.5,2,8.33333333333333,8,9,8,8,8.25,8.33333333333333,8.4,5.75,3.75,9,9,9,8.33333333333333,6.5,15,10,10,10,1500,2,0,1000,2,56,87,3,7,6,2,6,6,6,6,6,2,NA,NA,"                                           ",NA,NA,NA,NA,NA,NA,NA
117,4,1,8,5,5,5,1,4,6,5,1,1,1,5,9,6,5,8,5,6,2,5,7,8,9,6,5,7,3,5,8,6,4,4,5,1,6,3,5,7,3,5,9,6,7,6,7,3,2,8,6,3,5,6,3,4,8,4,4,4,6,4,5,6,6,3,4,2,3,3,6,2,4,3,4,6,9,4,4,5,3,4,5,7,1,5,7,5,5,6,6,4,2,5,3,3,6,5,6,7,1,3,6,7,5,6,4,6,8,5,4,6,3,3,5,5,7,7,1,4,6,5,4,4,7,3,5,3,4,5,5.8,6.25,4.25,5.66666666666667,2,6.25,5,5.25,5,6,3,6.5,3,7.33333333333333,8.66666666666667,3.33333333333333,5.5,4.66666666666667,4.66666666666667,1.5,4.66666666666667,3.33333333333333,5,4.66666666666667,5,5.25,3,6.8,1.5,4.75,5.25,5,5.75,3.66666666666667,4,3,1,12,1,50,8,0,500,8,2,88,2,5,5,6,3,7,3,1,3,3,"Male",25,"white                                      ","Staff",1,"$20,000-$39,999","None, I haven't started a retirement plan yet","college graduate","Heterosexual","single"
